file,line,thai_term,english_term,replacement_th,replacement_en,context,allowed
src\lib\intro-summary.ts,33,โชคลาภ/เงินทองวิ่งเข้าหา,fortune,"External Attraction Vector","External Attraction Vector","mapping",yes
src\lib\intro-summary.ts,42,ดูดวง/โชคชะตา/พระเวท/มูเตลู/ราหู/ดวงตก/ดวงดี/แม่นๆ/หมอดู/ราศี/เทวดา/เคราะห์กรรม/ศัตรู/เจ้ากรรมนายเวร/ลาภลอย/เนื้อคู่,astrology terms,"blocked terms","blocked terms","blocked terms list",yes
src\lib\intro-summary.ts,43,fortune telling/destiny/vedic/superstition/rahu/bad luck/good luck/predictor/zodiac sign/deity,astrology terms,"blocked terms","blocked terms","blocked terms list",yes
src\lib\worldSystemPromptBuilder.ts,85,destiny,destiny,"destiny","destiny","prompt: shape their destiny",no
src\services\CoreAwakeningService.ts,11,astrology,astrology,"SICE calculations","SICE calculations","import",no
src\services\CoreAwakeningService.ts,325,Western Zodiac/Moon Sign/Natal Element/Chinese Zodiac/BaZi/Nakshatra/Human Design,astrology sciences,"SICE sciences","SICE sciences","comment: weighted fusion",no
src\services\CoreAwakeningService.ts,332,westernZodiac,zodiac,"westernZodiac","westernZodiac","field",no
src\services\CoreAwakeningService.ts,335,chineseZodiac,zodiac,"chineseZodiac","chineseZodiac","field",no
src\services\VisualDNAService.ts,8,astrology,astrology,"SICE calculations","SICE calculations","comment",no
src\types\badges.ts,128,destiny,destiny,"destiny","destiny","badge id",no
src\types\badges.ts,130,Destiny,Destiny,"Destiny","Destiny","badge name",no
src\types\badges.ts,568,destiny,destiny,"destiny","destiny","badge id",no
src\types\badges.ts,570,Destiny,Destiny,"Destiny","Destiny","badge name",no
src\types\badges.ts,572,destiny,destiny,"destiny","destiny","badge description",no
src\types\badges.ts,1008,destiny,destiny,"destiny","destiny","badge id",no
src\types\badges.ts,1010,Destiny,Destiny,"Destiny","Destiny","badge name",no
src\types\badges.ts,1012,destiny,destiny,"destiny","destiny","badge description",no
src\types\badges.ts,1118,destiny,destiny,"destiny","destiny","badge id",no
src\types\badges.ts,1120,Destiny,Destiny,"Destiny","Destiny","badge name",no
src\types\badges.ts,1122,destiny,destiny,"destiny","destiny","badge description",no
src\types\badges.ts,1311,destiny,destiny,"destiny","destiny","badge id",no
src\types\badges.ts,1313,Destiny,Destiny,"Destiny","Destiny","badge name",no
src\types\badges.ts,1315,Destiny,Destiny,"Destiny","Destiny","badge description",no
src\types\badges.ts,1333,destiny,destiny,"destiny","destiny","badge description",no
